n_righeA,n_colonneA,n_righeB,n_colonneB,righe_blocco,colonne_blocco,n_proc,time,flops
32,32,32,32,1,1,1,0.000325,201544423.43
32,32,32,32,2,2,1,0.000446,146873534.15
32,32,32,32,2,2,2,0.000528,124140261.29
32,32,32,32,2,2,3,0.000479,136809516.14
32,32,32,32,2,2,4,0.000459,142853406.22
32,32,32,32,3,3,1,0.000311,211006901.03
32,32,32,32,3,3,2,0.000528,124217904.51
32,32,32,32,3,3,3,0.000498,131574877.07
32,32,32,32,3,3,4,0.000352,186004265.24
32,32,32,32,3,3,8,0.000434,151144606.95
32,32,32,32,4,4,1,0.000323,202619313.63
32,32,32,32,4,4,2,0.000527,124351078.37
32,32,32,32,4,4,3,0.000512,128031250.91
32,32,32,32,4,4,4,0.000722,90727356.16
32,32,32,32,4,4,8,0.000586,111771898.63
32,32,32,32,4,4,12,0.001070,61267035.86
32,32,32,32,4,4,16,0.001180,55527078.06
64,64,64,64,1,1,1,0.001643,319118267.24
64,64,64,64,2,2,1,0.001632,321223401.31
64,64,64,64,2,2,2,0.003434,152687695.84
64,64,64,64,2,2,3,0.003330,157441191.93
64,64,64,64,2,2,4,0.003783,138595486.45
64,64,64,64,3,3,1,0.001586,330640252.30
64,64,64,64,3,3,2,0.003411,153700030.16
64,64,64,64,3,3,3,0.003292,159252536.63
64,64,64,64,3,3,4,0.004001,131034071.40
64,64,64,64,3,3,8,0.005506,95229170.16
64,64,64,64,4,4,1,0.001521,344649248.60
64,64,64,64,4,4,2,0.003137,167139278.94
64,64,64,64,4,4,3,0.003841,136484288.19
64,64,64,64,4,4,4,0.005836,89840168.98
64,64,64,64,4,4,8,0.007059,74277010.12
64,64,64,64,4,4,12,0.009327,56209006.80
64,64,64,64,4,4,16,0.012544,41794358.92
128,128,128,128,1,1,1,0.008662,484236520.18
128,128,128,128,2,2,1,0.009206,455610555.46
128,128,128,128,2,2,2,0.011006,381096929.62
128,128,128,128,2,2,3,0.009110,460429510.08
128,128,128,128,2,2,4,0.007506,558814932.48
128,128,128,128,3,3,1,0.009103,460785369.97
128,128,128,128,3,3,2,0.011779,356091615.67
128,128,128,128,3,3,3,0.009655,434417366.68
128,128,128,128,3,3,4,0.009828,426786495.99
128,128,128,128,3,3,8,0.010802,388283757.15
128,128,128,128,4,4,1,0.009099,460986060.21
128,128,128,128,4,4,2,0.011328,370263399.35
128,128,128,128,4,4,3,0.010971,382314711.13
128,128,128,128,4,4,4,0.009878,424616124.06
128,128,128,128,4,4,8,0.014461,290049716.48
128,128,128,128,4,4,12,0.016324,256941525.39
128,128,128,128,4,4,16,0.013865,302506982.65
256,256,256,256,1,1,1,0.056806,590685789.24
256,256,256,256,2,2,1,0.057568,582865634.28
256,256,256,256,2,2,2,0.050922,658939527.69
256,256,256,256,2,2,3,0.040007,838717171.47
256,256,256,256,2,2,4,0.026611,1260911536.80
256,256,256,256,3,3,1,0.058291,575631916.03
256,256,256,256,3,3,2,0.051802,647740617.14
256,256,256,256,3,3,3,0.041885,801105643.17
256,256,256,256,3,3,4,0.038495,871652409.58
256,256,256,256,3,3,8,0.033956,988167621.51
256,256,256,256,4,4,1,0.057751,581015242.47
256,256,256,256,4,4,2,0.049661,675670297.80
256,256,256,256,4,4,3,0.046234,725755804.71
256,256,256,256,4,4,4,0.041273,812989643.91
256,256,256,256,4,4,8,0.035189,953538622.94
256,256,256,256,4,4,12,0.038893,862747145.18
256,256,256,256,4,4,16,0.032032,1047541449.46
1024,1024,1024,1024,2,2,2,2.511277,855135962.35
1024,1024,1024,1024,3,3,2,2.615061,821198211.25
1024,1024,1024,1024,3,3,8,1.338800,1604035957.74
1024,1024,1024,1024,4,4,2,2.475328,867555031.72
1024,1024,1024,1024,4,4,8,1.257538,1707689086.26
1024,1024,1024,1024,4,4,16,0.760279,2824599897.23
2048,2048,2048,2048,2,2,2,19.139139,897630192.59
2048,2048,2048,2048,3,3,2,20.025385,857904567.99
2048,2048,2048,2048,3,3,8,9.693169,1772368749.77
2048,2048,2048,2048,4,4,2,19.533064,879527619.53
2048,2048,2048,2048,4,4,8,9.140761,1879479014.76
2048,2048,2048,2048,4,4,16,2.901800,5920418248.70
4096,4096,4096,4096,2,2,2,151.547394,906904104.56
4096,4096,4096,4096,3,3,2,157.013275,875333333.08
4096,4096,4096,4096,3,3,8,74.154892,1853403731.36
4096,4096,4096,4096,4,4,2,155.273422,885141523.18
4096,4096,4096,4096,4,4,8,71.249695,1928976030.16
4096,4096,4096,4096,4,4,16,18.413122,7464185169.14
8192,8192,8192,8192,2,2,2,1203.282837,913759919.15
8192,8192,8192,8192,3,3,2,1271.381348,864816547.61
8192,8192,8192,8192,3,3,8,576.545898,1907066949.49
8192,8192,8192,8192,4,4,2,1198.596436,917332636.05
8192,8192,8192,8192,4,4,8,542.791565,2025660859.15
8192,8192,8192,8192,4,4,16,148.820297,7388183252.95
32,32,32,32,1,1,1,0.000324,202378410.60
32,32,32,32,2,2,1,0.000453,144811739.49
32,32,32,32,2,2,4,0.000511,128209847.72
32,32,32,32,3,3,1,0.000360,182166897.48
32,32,32,32,3,3,4,0.000352,186191869.40
32,32,32,32,3,3,8,0.000514,127609443.54
32,32,32,32,4,4,1,0.000381,171933789.05
32,32,32,32,4,4,4,0.000706,92842976.60
32,32,32,32,4,4,8,0.000381,171918443.99
32,32,32,32,4,4,12,0.000762,85998931.78
32,32,32,32,4,4,16,0.000838,78170827.94
32,32,32,64,1,1,1,0.000540,242821261.70
32,32,32,64,2,2,1,0.000541,242269658.88
32,32,32,64,2,2,4,0.000888,147643339.46
32,32,32,64,3,3,1,0.000580,226168314.29
32,32,32,64,3,3,4,0.000807,162335752.99
32,32,32,64,3,3,8,0.000809,161925628.95
32,32,32,64,4,4,1,0.000552,237442384.65
32,32,32,64,4,4,4,0.000596,219993653.00
32,32,32,64,4,4,8,0.000861,152267662.05
32,32,32,64,4,4,12,0.001118,117285345.28
32,32,32,64,4,4,16,0.000918,142765806.79
32,32,32,128,1,1,1,0.000938,279330659.98
32,32,32,128,2,2,1,0.000934,280725194.81
32,32,32,128,2,2,4,0.003054,85828442.11
32,32,32,128,3,3,1,0.000940,278852870.88
32,32,32,128,3,3,4,0.002947,88955487.32
32,32,32,128,3,3,8,0.006476,40477995.84
32,32,32,128,4,4,1,0.000978,268157983.11
32,32,32,128,4,4,4,0.002836,92435683.91
32,32,32,128,4,4,8,0.004711,55643268.00
32,32,32,128,4,4,12,0.008594,30504811.92
32,32,32,128,4,4,16,0.012308,21298866.36
32,32,32,256,1,1,1,0.001653,317223709.61
32,32,32,256,2,2,1,0.001965,266789482.93
32,32,32,256,2,2,4,0.003341,156928902.50
32,32,32,256,3,3,1,0.001906,275092470.34
32,32,32,256,3,3,4,0.003676,142629558.59
32,32,32,256,3,3,8,0.003449,151993797.51
32,32,32,256,4,4,1,0.001858,282194183.86
32,32,32,256,4,4,4,0.004176,125535416.21
32,32,32,256,4,4,8,0.004051,129417813.69
